과목명,과목구분,운영학과,강의시간,교수명,성적평가방식,수업형태
사회봉사(1),일반선택,대학 학과공통,,류진석,PASS/FAIL,가상강의(보조강의)
교육봉사 2,교직,대학 학과공통,,박환보,PASS/FAIL,가상강의(보조강의)
교육봉사 1,교직,대학 학과공통,,박환보,PASS/FAIL,가상강의(보조강의)
성인지교육1,교직,대학 학과공통,,박환보,PASS/FAIL,가상강의(보조강의)
성인지교육2,교직,대학 학과공통,,박환보,PASS/FAIL,가상강의(보조강의)
성인지교육3,교직,대학 학과공통,,박환보,PASS/FAIL,가상강의(보조강의)
성인지교육4,교직,대학 학과공통,,박환보,PASS/FAIL,가상강의(보조강의)
현대사회와 직업의 세계,교양(소양),대학 학과공통,목14:00~16:00(교111),이승환,GRADE,가상강의(보조강의)
현대사회와 직업의 세계,교양(소양),대학 학과공통,목16:00~18:00(교111),이승환,GRADE,가상강의(보조강의)
직업과 진로,교양(소양),대학 학과공통,화14:00~16:00(교111),이승환,GRADE,가상강의(보조강의)
직업과 진로,교양(소양),대학 학과공통,화16:00~18:00(교111),이승환,GRADE,가상강의(보조강의)
스포츠융복합산업론,교양(소양),대학 학과공통,"수10:30~12:00(교202A), 금09:00~10:30(교207)",최재선,GRADE,가상강의(보조강의)
현대인의 경제활동과 법률,교양(소양),대학 학과공통,목15:00~18:00(교204A),김종희,GRADE,가상강의(보조강의)
표현과예술심리치료,교양(소양),대학 학과공통,화09:00~12:00(교208),고홍월,GRADE,가상강의(보조강의)
과학과문화,교양(소양),대학 학과공통,목09:00~12:00(농2402),최인철,GRADE,가상강의(보조강의)
정의란무엇인가,교양(소양),대학 학과공통,금09:00~12:00(교408),신진,GRADE,가상강의(보조강의)
범죄의진실과오해,교양(소양),대학 학과공통,"월10:30~12:00, 수10:30~12:00",곽대훈,GRADE,가상강의(보조강의)
범죄의진실과오해,교양(소양),대학 학과공통,"월13:00~14:30, 수13:00~14:30",곽대훈,GRADE,가상강의(보조강의)
공존을위한창의적설계,교양(소양),대학 학과공통,금09:00~12:00(공2258-B),권재열,GRADE,가상강의(보조강의)
창의적발상론,교양(소양),대학 학과공통,금09:00~12:00(공2258-C),박경혜,GRADE,가상강의(보조강의)
생활속텍스트의이해,교양(소양),대학 학과공통,목15:00~18:00(인0102),백미현,GRADE,가상강의(보조강의)
말하기와토론,교양(소양),대학 학과공통,"화16:30~18:00(사강404), 수16:30~18:00(사강404)",김수정,GRADE,가상강의(보조강의)
마음과행동의뇌과학,교양(소양),대학 학과공통,"화12:00~13:30(교301), 금10:30~12:00(교105)",한석원,GRADE,가상강의(보조강의)
K-Culture와문화마케팅,교양(소양),대학 학과공통,"화15:00~16:30(교404A), 금10:30~12:00(교202A)",황복희,GRADE,가상강의(보조강의)
4차산업혁명과공공가치,교양(소양),대학 학과공통,금12:00~15:00(교408),신진,GRADE,가상강의(보조강의)
4차산업혁명시대를위한인문학입문,교양(소양),대학 학과공통,"수15:00~16:00(교104A), 목10:00~12:00(교305)",김경배,GRADE,가상강의(보조강의)
컴퓨팅 사고와 고전읽기,교양(소양),대학 학과공통,목14:00~17:00(교407),김정숙,GRADE,가상강의(보조강의)
글로벌 네트워킹과 협력: 기본 이해와 실제,교양(소양),대학 학과공통,목15:00~18:00(공2258-G),권재열,GRADE,가상강의(보조강의)
미래지속가능 웰니스융합,교양(소양),대학 학과공통,월10:00~12:00(교303B),송영신,GRADE,가상강의(보조강의)
융복합 학문의 원리에서 배우는 삶의 지혜,교양(소양),대학 학과공통,수15:00~18:00(사강405),고세일,GRADE,가상강의(보조강의)
프로그래밍언어,교양(균형),대학 학과공통,"월10:00~11:00(공4413), 월11:00~13:00(공4413)",박승환,GRADE,가상강의(보조강의)
프로그래밍언어,교양(균형),대학 학과공통,"월13:00~14:00(공4413), 월14:00~16:00(공4413)",박승환,GRADE,가상강의(보조강의)
프로그래밍언어,교양(균형),대학 학과공통,"월16:00~17:00(공4413), 월17:00~19:00(공4413)",박승환,GRADE,가상강의(보조강의)
프로그래밍언어,교양(균형),대학 학과공통,"목14:00~15:00(산학연0210), 목15:00~17:00(산학연0210)",노경숙,GRADE,가상강의(보조강의)
컴퓨터과학적사고,교양(기초),대학 학과공통,"화16:00~18:00(교106A), 목10:00~12:00(교106A)",최미선,GRADE,가상강의(보조강의)
컴퓨터과학적사고,교양(기초),대학 학과공통,"화10:00~12:00(공5409), 금16:00~18:00(교106A)",최미선,GRADE,가상강의(보조강의)
컴퓨터과학적사고,교양(기초),대학 학과공통,"월16:00~18:00(교106A), 수13:00~15:00(교106A)",천은영,GRADE,가상강의(보조강의)
컴퓨터과학적사고,교양(기초),대학 학과공통,"월14:00~16:00(교106A), 수11:00~13:00(교106A)",천은영,GRADE,가상강의(보조강의)
컴퓨터과학적사고,교양(기초),대학 학과공통,"월10:00~12:00(교106A), 수15:00~17:00(교106A)",신효정,GRADE,가상강의(보조강의)
컴퓨터과학적사고,교양(기초),대학 학과공통,"화14:00~16:00(교106A), 목16:00~18:00(교106A)",이은주,GRADE,가상강의(보조강의)
컴퓨터과학적사고,교양(기초),대학 학과공통,"화10:00~12:00(교104A), 금16:00~18:00(교104A)",서정주,GRADE,가상강의(보조강의)
컴퓨터과학적사고,교양(기초),대학 학과공통,"월10:00~12:00(교209A), 목16:00~18:00(교408)",최미선,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,,전중양,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,,이민선,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,,노창배,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,,이상길,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,,이홍로,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,"수16:30~18:00(교209A), 금15:00~16:30(교209A)",이홍로,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,"월13:30~15:00(교209A), 수12:00~13:30(교209A)",한희원,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,"수13:30~15:00(교209A), 금12:00~13:30(교209A)",한희원,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,"월12:00~13:30(농1101), 금13:30~15:00(농1101)",이돈오,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,"월16:30~18:00(농1101), 금12:00~13:30(농1101)",이돈오,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,"화09:00~10:30(교106A), 금09:00~10:30(교214)",노창배,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,토16:00~19:00(경E203),전중양,GRADE,가상강의(보조강의)
인공지능과 미래사회,교양(기초),대학 학과공통,수15:00~18:00(교214),최훈,GRADE,가상강의(보조강의)
파이썬프로그래밍,교양(균형),대학 학과공통,"화10:00~12:00(교408), 금16:00~18:00(교408)",김대엽,GRADE,가상강의(보조강의)
파이썬프로그래밍,교양(균형),대학 학과공통,"목14:00~16:00(교106A), 금10:00~12:00(교106A)",김대엽,GRADE,가상강의(보조강의)
데이터분석 입문과활용,교양(균형),대학 학과공통,"월16:00~18:00(교408), 수13:00~15:00(교408)",신효정,GRADE,가상강의(보조강의)
컴퓨터 이해와 활용,교양(소양),대학 학과공통,"월15:00~16:30(교214), 목16:30~18:00(교214)",김상형,GRADE,가상강의(보조강의)
컴퓨터 이해와 활용,교양(소양),대학 학과공통,,김상형,GRADE,가상강의(보조강의)
컴퓨터 이해와 활용,교양(소양),대학 학과공통,"화10:30~12:00(교211), 목09:00~10:30(교211)",이민선,GRADE,가상강의(보조강의)
정보보호입문과활용,교양(소양),대학 학과공통,"월14:00~16:00(공5404), 수10:00~12:00(공5416)",원유재,GRADE,가상강의(보조강의)
법학개론,교양(균형),대학 학과공통,월15:00~18:00(법109),김권일,GRADE,가상강의(보조강의)
생활법률,교양(균형),대학 학과공통,화15:00~18:00(법101),신현석,GRADE,가상강의(보조강의)
생활법률,교양(균형),대학 학과공통,"화10:30~12:00(교214), 금15:00~16:30(교214)",류광해,GRADE,가상강의(보조강의)
생활법률,교양(균형),대학 학과공통,"화15:00~16:30(교408), 목09:00~10:30(교408)",홍승희,GRADE,가상강의(보조강의)
생활법률,교양(균형),대학 학과공통,"월10:30~12:00(교408), 수09:00~10:30(교408)",정상민,GRADE,가상강의(보조강의)
생활법률,교양(균형),대학 학과공통,화12:00~15:00(법109),류광해,GRADE,가상강의(보조강의)
인터넷과 법,교양(소양),대학 학과공통,월13:30~16:30(교301),김도경,GRADE,가상강의(보조강의)
공학법제,교양(소양),대학 학과공통,월10:30~13:30(교407),김도경,GRADE,가상강의(보조강의)
인권과 법,교양(소양),대학 학과공통,월14:00~17:00(교202A),송영현,GRADE,가상강의(보조강의)
영화속법률,교양(소양),대학 학과공통,"목10:30~12:00(교301), 금13:30~15:00(교301)",민지원,GRADE,가상강의(보조강의)
창업과법률,교양(소양),대학 학과공통,금15:00~18:00(교105),이형욱,GRADE,가상강의(보조강의)
국제사회와법이야기,교양(소양),대학 학과공통,화15:00~18:00(법106),도경옥,GRADE,가상강의(보조강의)
교양 헌법,교양(소양),대학 학과공통,목09:00~12:00(법106),명재진,GRADE,가상강의(보조강의)
교양 형법,교양(소양),대학 학과공통,월15:00~18:00(법106),김혜미,GRADE,가상강의(보조강의)
처음 만나는 민주주의,교양(소양),대학 학과공통,수15:00~18:00(법106),이승택,GRADE,가상강의(보조강의)
취업의 세계와 법,교양(소양),대학 학과공통,화15:00~18:00(법212),김기선,GRADE,가상강의(보조강의)
국제개발협력의 이해,교양(소양),대학 학과공통,금12:00~15:00(교104A),한석호,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,월11:00~13:00(교101),황인지,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,월14:00~16:00(교101),이한균,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,수13:00~15:00(교101),이윤철,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,금14:00~16:00(교101),서원혁,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,화10:00~12:00(교101),최정묵,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,수14:00~16:00(인0460),주나미,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,화10:00~12:00(인0118),김충현,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,화16:00~18:00(교101),강미숙,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,수10:00~12:00(교101),원재린,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,금12:00~14:00(교101),박서진,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,화12:00~14:00(교101),이성우,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,화14:00~16:00(교101),이양희,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,수15:00~17:00(교101),백미선,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,목16:00~18:00(교101),이기봉,GRADE,가상강의(보조강의)
인문학적 사고와 논리,교양(기초),대학 학과공통,금10:00~12:00(교101),이정란,GRADE,가상강의(보조강의)
슬기로운 대학생활,일반선택,대학 학과공통,수20:00~22:00(교308A),한동숙,PASS/FAIL,가상강의(보조강의)
3D 프린팅 입문,일반선택,대학 학과공통,월16:00~18:00(마루빌(인재개발원3층)),유태우,PASS/FAIL,가상강의(보조강의)
창업실무 특강,일반선택,대학 학과공통,목12:00~14:00(마루빌(인재개발원3층)),유태우,PASS/FAIL,가상강의(보조강의)
지역사회 연계 디지털 직무능력 개발과정,일반선택,대학 학과공통,목12:00~14:00(인0102),류병래,GRADE,가상강의(보조강의)
데이터 활용과 문제해결 실무과정,일반선택,대학 학과공통,목14:00~16:00(인0246),류병래,GRADE,가상강의(보조강의)
디지털 융합인재 양성과정,일반선택,대학 학과공통,목16:00~18:00(인0251),류병래,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,월09:00~11:00(교103A),송종현,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,월11:00~13:00(교103A),심경무,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,월13:00~15:00(교103A),민경국,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,월15:00~17:00(교103A),민경국,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,월17:00~19:00(교103A),민경국,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,화09:00~11:00(교103A),조창우,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,화11:00~13:00(교103A),조창우,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,화13:00~15:00(교103A),박종철,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,화15:00~17:00(교103A),유영준,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,화17:00~19:00(교103A),박종철,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,수09:00~11:00(교103A),신창섭,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,수11:00~13:00(교103A),박종철,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,수13:00~15:00(교103A),신창섭,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,수15:00~17:00(교103A),신창섭,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,목09:00~11:00(교103A),유영준,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,목11:00~13:00(교103A),유영준,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,목13:00~15:00(교103A),조창우,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,목15:00~17:00(교103A),송종현,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,금09:00~11:00(교103A),심경무,GRADE,가상강의(보조강의)
과학적 사고와 논리,교양(기초),대학 학과공통,금11:00~13:00(교103A),심경무,GRADE,가상강의(보조강의)
공학입문,교양(소양),대학 학과공통,"화15:00~16:30(공4108), 금16:30~18:00(공4108)",조은현,GRADE,가상강의(보조강의)
공학입문,교양(소양),대학 학과공통,"화15:00~16:30(공4212), 금16:30~18:00(공4212)",황인찬,GRADE,가상강의(보조강의)
공학입문,교양(소양),대학 학과공통,"화16:30~18:00(공1312), 목15:00~16:30(공1312)",황인찬,GRADE,가상강의(보조강의)
공학입문,교양(소양),대학 학과공통,,,GRADE,가상강의(보조강의)
CEO의리더십과창업,교양(소양),대학 학과공통,수14:00~17:00(개발실(인재개발원3층)),김완재,GRADE,가상강의(보조강의)
독서지도의 이해,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
알기 쉬운 기업 살림살이,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
에듀테크의 이해,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
인류와 문명의 이해,일반선택,대학 학과공통,화14:00~17:00,,GRADE,가상강의(보조강의)
수목보호학,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
빅데이터이해및활용,일반선택,대학 학과공통,"월11:00~13:00, 수11:00~12:00",,GRADE,가상강의(보조강의)
영화제작에 대해 알고싶은 모든 것,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
디지털 스토리텔링과 게임,일반선택,대학 학과공통,목16:00~17:00,,GRADE,가상강의(보조강의)
생활 속의 반도체,일반선택,대학 학과공통,수09:00~12:00,,GRADE,가상강의(보조강의)
혁신을위한모순해결,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
로마문화와 함께 배우는 교양 라틴어,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
비유와 우화로 보는 철학 산책,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
잉글리시 커뮤니케이션,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
이지중국어,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
지구환경과 자원,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
동양의 고전,일반선택,대학 학과공통,목16:00~17:00,,GRADE,가상강의(보조강의)
세계종교입문,일반선택,대학 학과공통,목14:00~17:00,,GRADE,가상강의(보조강의)
"(공유)빅데이터, 인공지능과 예술",일반선택,대학 학과공통,월18:30~19:30,,GRADE,가상강의(보조강의)
전염병과인류의역사,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
광고학원론,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
능력검정한국사따라가기,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
실용한자와고사성어,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
소비의이해,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
미술 감상법,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
심리학의 이해,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
영어로공부하는아시아경제의이슈,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
생활속의헌법탐험,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
중국문자의이해,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
생활속의 한자,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
정보보호개론,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
문화창업마케팅,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
다문화사회의 이해,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
평화사상과 통일의 길,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
위험사회와 미래직업,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
한옥개론,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
환경문제와 윤리,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
우주로의 여행,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
여행과문화,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
강원문화사,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
서양고대철학,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
중국고대철학,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
심리학의 이해,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
무역실무,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
한국지형여행,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
불교가 묻고 내가 답한다,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
인간커뮤니케이션,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
산업경영의이해,일반선택,대학 학과공통,,,GRADE,가상강의(보조강의)
아시아공동체의 과학과 문명,일반선택,대학 학과공통,목13:00~16:00,,GRADE,가상강의(보조강의)
대전학,일반선택,대학 학과공통,,,PASS/FAIL,가상강의(보조강의)
인문학의향기,일반선택,대학 학과공통,,,PASS/FAIL,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,안기돈,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,안기돈,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,안기돈,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,안기돈,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,안기돈,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,박기문,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,최수훈,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,최수훈,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,최수훈,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,최수훈,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,최수훈,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,최수훈,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,,최수훈,GRADE,가상강의(보조강의)
취업과 창업,교양(소양필수),대학 학과공통,월13:00~14:00(진료실기센터106),이소영,GRADE,가상강의(보조강의)
백마인턴십 Ⅱ,일반선택,대학 학과공통,,이승환,PASS/FAIL,가상강의(보조강의)
안보학,일반선택,대학 학과공통,"월15:00~16:00(학군단2층강의실), 월16:00~18:00(학군단2층강의실), 금08:00~10:00(학군단2층강의실)",학군단교관,GRADE,가상강의(보조강의)
조직리더십,일반선택,대학 학과공통,"월08:00~10:00(학군단3층강의실), 금14:00~15:00(학군단3층강의실), 금15:00~17:00(학군단3층강의실)",학군단교관,GRADE,가상강의(보조강의)
미래설계상담1,전공(기초),인문대학 국어국문학과,,윤준섭,PASS/FAIL,가상강의(보조강의)
국문학개론,전공(핵심),인문대학 국어국문학과,"월13:00~15:00(인0105), 화14:00~15:00(인0105)",윤준섭,GRADE,가상강의(보조강의)
국문학개론,전공(핵심),인문대학 국어국문학과,"월10:00~12:00(인0104), 수10:00~11:00(인0104)",윤보윤,GRADE,가상강의(보조강의)
국어학개론,전공(핵심),인문대학 국어국문학과,"화16:00~17:00(인0104), 목10:00~12:00(인0104)",이금영,GRADE,가상강의(보조강의)
국어학개론,전공(핵심),인문대학 국어국문학과,"화15:00~16:00(인0120), 수16:00~18:00(인0120)",박재희,GRADE,가상강의(보조강의)
영화와문학,교양(소양),인문대학 국어국문학과,"수10:30~12:00(교208), 금09:00~10:30(교208)",조규찬,GRADE,가상강의(보조강의)
영화와문학,교양(소양),인문대학 국어국문학과,"월15:00~16:30(교208), 목16:30~18:00(교208)",권양현,GRADE,가상강의(보조강의)
공학논문작성과 발표,교양(소양),인문대학 국어국문학과,"월16:30~18:00(교208), 수15:00~16:30(교208)",김현화,GRADE,가상강의(보조강의)
자연과학글쓰기,교양(소양),인문대학 국어국문학과,"월09:00~10:30(교307), 목10:30~12:00(교307)",오영록,GRADE,가상강의(보조강의)
한국어 쓰기 1,교양(소양),인문대학 국어국문학과,"화12:00~13:30(교211), 금13:30~15:00(교211)",장지현,GRADE,가상강의(보조강의)
한국어 쓰기 1,교양(소양),인문대학 국어국문학과,"화16:30~18:00(교208), 목15:00~16:30(교208)",유소연,GRADE,가상강의(보조강의)
한국어 쓰기 2,교양(소양),인문대학 국어국문학과,"월13:30~15:00(교208), 수12:00~13:30(교208)",이정은,GRADE,가상강의(보조강의)
한국어 쓰기 2,교양(소양),인문대학 국어국문학과,"월09:00~10:30(교208), 목10:30~12:00(교208)",이정은,GRADE,가상강의(보조강의)
콘텐츠 창작 글쓰기,교양(소양),인문대학 국어국문학과,"수10:30~12:00(교307), 금09:00~10:30(교307)",양미영,GRADE,가상강의(보조강의)
콘텐츠 창작 글쓰기,교양(소양),인문대학 국어국문학과,"월12:00~13:30(교208), 목13:30~15:00(교208)",유정미,GRADE,가상강의(보조강의)
현대사회와 실용 글쓰기,교양(소양),인문대학 국어국문학과,"수13:30~15:00(교208), 금12:00~13:30(교208)",홍희정,GRADE,가상강의(보조강의)
현대사회와 실용 글쓰기,교양(소양),인문대학 국어국문학과,"화13:30~15:00(교208), 목12:00~13:30(교208)",이윤희,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,월10:00~12:00(교213),유정미,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,월12:00~14:00(교213),박종윤,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,월14:00~16:00(교213),박상완,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,월16:00~18:00(교213),박종윤,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,화09:00~11:00(교213),윤준섭,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,화11:00~13:00(교213),차진명,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,화14:00~16:00(교213),송미영,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,화16:00~18:00(교213),김순재,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,수10:00~12:00(교213),홍희정,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,수12:00~14:00(교213),임은경,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,수14:00~16:00(교213),김성옥,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,수16:00~18:00(교213),임은경,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,목10:00~12:00(교213),홍희정,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,목12:00~14:00(교213),백윤경,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,목14:00~16:00(교213),김성옥,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,목16:00~18:00(교213),김기영,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,금09:00~11:00(교213),송지혜,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,금11:00~13:00(교213),정기선,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,금13:00~15:00(교213),오영록,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,금15:00~17:00(교213),정기선,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,금11:00~13:00(교210),송지혜,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,월12:00~14:00(교306),김현화,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,월14:00~16:00(교306),유정미,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,월16:00~18:00(교306),오세란,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,화10:00~12:00(교306),박성준,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,화12:00~14:00(교306),박성준,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,화14:00~16:00(교306),한주희,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,화16:00~18:00(교306),한주희,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,수10:00~12:00(교306),오세란,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,수12:00~14:00(교306),오세란,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,수14:00~16:00(교306),김정인,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,수16:00~18:00(교306),유현승,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,목10:00~12:00(교306),김순재,GRADE,가상강의(보조강의)
대학글쓰기,교양(기초),인문대학 국어국문학과,목12:00~14:00(교306),김순재,GRADE,가상강의(보조강의)
